station_id,state,region,station_lat,station_lon,date,year,month,day_of_year,max_temp_c,heatwave_flag
IMD-1185,Madhya Pradesh,Central,22.103,78.455,2021-11-02,2021,11,306,51.7,1
IMD-1233,Maharashtra,West,21.056,77.514,2024-11-18,2024,11,323,46.5,0
IMD-1425,Gujarat,West,22.055,72.9,2025-04-30,2025,4,120,30.5,0
IMD-1663,West Bengal,East,22.413,88.597,2024-06-12,2024,6,164,30.6,0
IMD-1736,Jharkhand,East,22.114,86.186,2021-08-28,2021,8,240,41.6,0
IMD-1201,Madhya Pradesh,Central,21.798,77.571,2023-07-19,2023,7,200,36.1,0
IMD-1292,Maharashtra,West,19.011,75.634,2022-11-25,2022,11,329,44.4,0
IMD-1493,Delhi,Northwest,28.752,78.784,2022-06-11,2022,6,162,32.8,0
IMD-1267,Maharashtra,West,20.714,75.72,2026-12-24,2026,12,358,51.6,1
IMD-1332,Bihar,Indo-Gangetic Plain,24.513,83.391,2024-09-23,2024,9,267,45.7,0
IMD-1173,Madhya Pradesh,Central,24.246,78.752,2024-06-04,2024,6,156,33.8,0
IMD-1884,Kerala,South,9.777,77.566,2024-01-22,2024,1,22,37.3,0
IMD-1845,Tamil Nadu,South Peninsula,12.394,79.718,2022-04-08,2022,4,98,30.4,0
IMD-1533,Andhra Pradesh,South Peninsula,16.302,80.701,2023-06-23,2023,6,174,31.1,0
IMD-1160,Uttar Pradesh,Indo-Gangetic Plain,25.953,79.468,2022-02-11,2022,2,42,39.7,0
IMD-1684,West Bengal,East,23.632,87.508,2026-05-05,2026,5,125,31.1,0
IMD-1818,Tamil Nadu,South Peninsula,9.936,77.459,2022-07-11,2022,7,192,32.6,0
IMD-1109,Uttar Pradesh,Indo-Gangetic Plain,25.83,81.444,2026-11-22,2026,11,326,52.0,1
IMD-1023,Rajasthan,Northwest,27.658,75.159,2023-02-15,2023,2,46,43.5,0
IMD-1264,Maharashtra,West,19.744,75.879,2026-12-14,2026,12,348,47.9,0
IMD-1249,Maharashtra,West,18.685,77.061,2024-07-16,2024,7,198,37.2,0
IMD-1062,Rajasthan,Northwest,26.459,73.87,2021-12-23,2021,12,357,46.6,0
IMD-1089,Uttar Pradesh,Indo-Gangetic Plain,28.127,80.078,2020-08-27,2020,8,240,41.7,0
IMD-1121,Uttar Pradesh,Indo-Gangetic Plain,27.321,81.35,2026-11-12,2026,11,316,50.7,0
IMD-1036,Rajasthan,Northwest,26.269,76.123,2022-12-26,2022,12,360,48.5,0
IMD-1623,Punjab,Northwest,30.016,74.434,2020-07-11,2020,7,193,38.4,0
IMD-1660,West Bengal,East,23.857,87.845,2025-02-25,2025,2,56,34.6,0
IMD-1057,Rajasthan,Northwest,27.464,73.164,2023-04-04,2023,4,94,33.5,0
IMD-1710,Chhattisgarh,Central,22.664,80.628,2026-01-24,2026,1,24,43.6,0
IMD-1017,Rajasthan,Northwest,26.092,74.204,2023-07-26,2023,7,207,42.7,1
IMD-1512,Andhra Pradesh,South Peninsula,17.219,78.444,2026-11-21,2026,11,325,52.0,1
IMD-1645,West Bengal,East,23.886,89.754,2025-05-13,2025,5,133,30.2,0
IMD-1431,Gujarat,West,23.504,71.946,2025-08-16,2025,8,228,40.1,0
IMD-1101,Uttar Pradesh,Indo-Gangetic Plain,25.309,79.351,2022-10-03,2022,10,276,46.5,0
IMD-1110,Uttar Pradesh,Indo-Gangetic Plain,27.202,79.668,2020-03-02,2020,3,62,36.8,0
IMD-1056,Rajasthan,Northwest,27.587,73.475,2026-08-07,2026,8,219,41.2,0
IMD-1550,Andhra Pradesh,South Peninsula,16.585,81.186,2024-02-16,2024,2,47,37.0,0
IMD-1113,Uttar Pradesh,Indo-Gangetic Plain,27.966,81.13,2024-05-09,2024,5,130,31.7,0
IMD-1863,Kerala,South,9.753,76.428,2021-01-16,2021,1,16,33.5,0
IMD-1380,Odisha,East,19.887,84.755,2022-08-17,2022,8,229,39.1,0
IMD-1763,Karnataka,South,14.088,75.388,2026-01-04,2026,1,4,40.9,0
IMD-1719,Chhattisgarh,Central,22.138,80.915,2021-06-23,2021,6,174,34.6,0
IMD-1188,Madhya Pradesh,Central,23.798,78.224,2025-08-06,2025,8,218,39.2,0
IMD-1493,Delhi,Northwest,28.752,78.784,2022-02-05,2022,2,36,41.6,0
IMD-1807,Karnataka,South,14.269,74.242,2026-12-17,2026,12,351,42.5,0
IMD-1213,Madhya Pradesh,Central,22.774,80.374,2021-11-29,2021,11,333,49.4,0
IMD-1037,Rajasthan,Northwest,28.447,74.064,2021-11-26,2021,11,330,49.3,0
IMD-1057,Rajasthan,Northwest,27.464,73.164,2021-03-05,2021,3,64,41.7,0
IMD-1592,Telangana,South Peninsula,18.045,79.519,2020-10-06,2020,10,280,42.9,0
IMD-1109,Uttar Pradesh,Indo-Gangetic Plain,25.83,81.444,2022-02-13,2022,2,44,44.0,1
IMD-1694,Chhattisgarh,Central,22.57,80.823,2026-09-06,2026,9,249,40.2,0
IMD-1205,Madhya Pradesh,Central,23.455,80.24,2026-04-07,2026,4,97,36.5,0
IMD-1078,Uttar Pradesh,Indo-Gangetic Plain,27.687,79.346,2020-05-21,2020,5,142,35.5,0
IMD-1777,Karnataka,South,15.822,76.944,2023-04-24,2023,4,114,24.8,0
IMD-1276,Maharashtra,West,19.52,74.597,2021-12-02,2021,12,336,44.3,0
IMD-1086,Uttar Pradesh,Indo-Gangetic Plain,26.377,80.73,2026-02-02,2026,2,33,38.3,0
IMD-1501,Delhi,Northwest,27.267,76.176,2021-12-24,2021,12,358,45.5,0
IMD-1809,Karnataka,South,14.83,74.835,2022-11-26,2022,11,330,41.5,0
IMD-1712,Chhattisgarh,Central,22.398,80.133,2020-04-27,2020,4,118,31.8,0
IMD-1748,Jharkhand,East,24.186,86.921,2023-07-05,2023,7,186,34.0,0
IMD-1460,Haryana,Northwest,29.82,75.427,2025-01-06,2025,1,6,45.2,0
IMD-1573,Telangana,South Peninsula,16.271,77.13,2024-09-05,2024,9,249,40.8,0
IMD-1254,Maharashtra,West,19.481,77.666,2021-02-03,2021,2,34,40.7,0
IMD-1687,West Bengal,East,24.11,88.098,2024-01-22,2024,1,22,42.2,0
IMD-1028,Rajasthan,Northwest,28.375,74.314,2020-06-19,2020,6,171,35.7,0
IMD-1265,Maharashtra,West,20.091,77.268,2024-07-22,2024,7,204,38.4,0
IMD-1158,Uttar Pradesh,Indo-Gangetic Plain,27.719,80.859,2023-06-06,2023,6,157,33.5,0
IMD-1381,Odisha,East,19.44,86.66,2025-07-11,2025,7,192,34.0,0
IMD-1171,Madhya Pradesh,Central,23.681,77.69,2024-12-10,2024,12,345,45.6,0
IMD-1744,Jharkhand,East,24.654,83.398,2020-05-18,2020,5,139,32.0,0
IMD-1248,Maharashtra,West,18.965,73.816,2025-04-17,2025,4,107,34.1,0
IMD-1363,Odisha,East,20.167,83.46,2021-08-11,2021,8,223,38.3,0
IMD-1428,Gujarat,West,23.262,72.396,2024-02-06,2024,2,37,40.5,0
IMD-1337,Bihar,Indo-Gangetic Plain,25.261,86.243,2020-02-10,2020,2,41,39.4,0
IMD-1191,Madhya Pradesh,Central,24.293,80.078,2020-02-15,2020,2,46,43.5,1
IMD-1281,Maharashtra,West,21.176,73.802,2023-07-07,2023,7,188,29.8,0
IMD-1589,Telangana,South Peninsula,17.416,78.872,2022-06-16,2022,6,167,29.2,0
IMD-1462,Haryana,Northwest,28.507,75.879,2021-02-12,2021,2,43,38.5,0
IMD-1758,Jharkhand,East,23.391,83.761,2022-11-24,2022,11,328,48.1,0
IMD-1719,Chhattisgarh,Central,22.138,80.915,2022-06-06,2022,6,157,33.8,0
IMD-1260,Maharashtra,West,20.753,76.907,2021-02-19,2021,2,50,37.2,0
IMD-1415,Gujarat,West,21.997,70.779,2022-01-07,2022,1,7,48.6,1
IMD-1401,Gujarat,West,20.81,71.466,2026-10-26,2026,10,299,52.0,1
IMD-1709,Chhattisgarh,Central,21.29,81.182,2020-01-04,2020,1,4,44.2,0
IMD-1315,Bihar,Indo-Gangetic Plain,24.193,83.794,2021-01-17,2021,1,17,43.5,0
IMD-1550,Andhra Pradesh,South Peninsula,16.585,81.186,2024-02-08,2024,2,39,42.7,1
IMD-1351,Odisha,East,19.742,84.61,2025-06-19,2025,6,170,30.5,0
IMD-1736,Jharkhand,East,22.114,86.186,2025-04-02,2025,4,92,32.8,0
IMD-1213,Madhya Pradesh,Central,22.774,80.374,2025-09-14,2025,9,257,46.3,0
IMD-1549,Andhra Pradesh,South Peninsula,17.018,80.029,2021-10-31,2021,10,304,45.7,0
IMD-1793,Karnataka,South,15.09,74.227,2024-01-04,2024,1,4,39.8,0
IMD-1358,Odisha,East,19.697,86.16,2020-09-20,2020,9,264,42.6,0
IMD-1765,Karnataka,South,14.688,75.352,2025-02-17,2025,2,48,37.8,0
IMD-1529,Andhra Pradesh,South Peninsula,14.837,79.41,2024-09-17,2024,9,261,46.0,0
IMD-1712,Chhattisgarh,Central,22.398,80.133,2020-07-11,2020,7,193,36.3,0
IMD-1595,Telangana,South Peninsula,18.485,76.612,2021-02-28,2021,2,59,37.9,0
IMD-1188,Madhya Pradesh,Central,23.798,78.224,2021-09-21,2021,9,264,42.6,0
IMD-1613,Punjab,Northwest,31.666,74.218,2022-12-10,2022,12,344,51.2,1
IMD-1569,Telangana,South Peninsula,16.042,76.535,2025-09-24,2025,9,267,42.4,0
IMD-1196,Madhya Pradesh,Central,21.517,76.622,2026-03-09,2026,3,68,39.6,0
IMD-1054,Rajasthan,Northwest,27.617,74.091,2026-12-27,2026,12,361,50.7,0
IMD-1192,Madhya Pradesh,Central,22.004,79.449,2026-01-30,2026,1,30,40.9,0
IMD-1441,Gujarat,West,22.819,72.324,2026-10-31,2026,10,304,47.4,0
IMD-1626,Punjab,Northwest,29.993,75.224,2023-01-23,2023,1,23,43.6,0
IMD-1728,Jharkhand,East,23.098,86.528,2024-10-29,2024,10,303,48.8,0
IMD-1536,Andhra Pradesh,South Peninsula,15.44,79.446,2023-03-22,2023,3,81,36.1,0
IMD-1220,Madhya Pradesh,Central,22.755,79.734,2024-10-27,2024,10,301,49.3,0
IMD-1777,Karnataka,South,15.822,76.944,2024-05-07,2024,5,128,25.5,0
IMD-1657,West Bengal,East,23.534,88.848,2025-06-08,2025,6,159,29.7,0
IMD-1564,Andhra Pradesh,South Peninsula,15.026,79.776,2020-07-09,2020,7,191,36.4,0
IMD-1796,Karnataka,South,14.673,75.293,2026-06-30,2026,6,181,37.3,0
IMD-1513,Andhra Pradesh,South Peninsula,14.752,78.992,2025-10-27,2025,10,300,45.3,0
IMD-1122,Uttar Pradesh,Indo-Gangetic Plain,26.676,81.105,2025-08-15,2025,8,227,39.4,0
IMD-1305,Bihar,Indo-Gangetic Plain,23.955,83.95,2024-12-13,2024,12,348,41.5,0
IMD-1783,Karnataka,South,15.618,75.794,2020-03-25,2020,3,85,26.8,0
IMD-1260,Maharashtra,West,20.753,76.907,2022-07-26,2022,7,207,38.2,0
IMD-1128,Uttar Pradesh,Indo-Gangetic Plain,27.588,79.361,2020-04-14,2020,4,105,32.8,0
IMD-1218,Madhya Pradesh,Central,24.021,78.054,2026-04-18,2026,4,108,37.2,0
IMD-1715,Chhattisgarh,Central,21.884,79.955,2023-11-21,2023,11,325,48.9,0
IMD-1762,Karnataka,South,13.905,76.066,2026-02-16,2026,2,47,40.7,1
IMD-1476,Haryana,Northwest,29.06,74.484,2022-05-25,2022,5,145,33.4,0
IMD-1037,Rajasthan,Northwest,28.447,74.064,2025-09-13,2025,9,256,45.3,0
IMD-1827,Tamil Nadu,South Peninsula,11.807,78.556,2025-01-23,2025,1,23,38.7,0
IMD-1076,Uttar Pradesh,Indo-Gangetic Plain,27.363,81.538,2022-10-20,2022,10,293,45.7,0
IMD-1143,Uttar Pradesh,Indo-Gangetic Plain,26.49,78.916,2021-07-25,2021,7,206,36.9,0
IMD-1546,Andhra Pradesh,South Peninsula,16.22,80.542,2024-02-02,2024,2,33,42.1,0
IMD-1888,Kerala,South,10.077,77.853,2020-12-07,2020,12,342,40.9,0
IMD-1534,Andhra Pradesh,South Peninsula,17.384,81.241,2024-07-11,2024,7,193,33.7,0
IMD-1879,Kerala,South,12.392,77.537,2025-03-23,2025,3,82,30.6,0
IMD-1239,Maharashtra,West,19.028,75.207,2022-07-04,2022,7,185,33.6,0
IMD-1788,Karnataka,South,13.9,74.298,2020-10-22,2020,10,296,41.8,0
IMD-1075,Uttar Pradesh,Indo-Gangetic Plain,25.827,80.645,2020-04-22,2020,4,113,30.6,0
IMD-1248,Maharashtra,West,18.965,73.816,2022-02-04,2022,2,35,40.0,0
IMD-1078,Uttar Pradesh,Indo-Gangetic Plain,27.687,79.346,2026-01-28,2026,1,28,41.1,0
IMD-1883,Kerala,South,11.167,75.619,2023-09-22,2023,9,265,38.6,0
IMD-1062,Rajasthan,Northwest,26.459,73.87,2022-05-09,2022,5,129,30.7,0
IMD-1206,Madhya Pradesh,Central,21.819,80.239,2023-05-09,2023,5,129,32.8,0
IMD-1734,Jharkhand,East,23.3,84.261,2020-02-20,2020,2,51,40.3,0
IMD-1055,Rajasthan,Northwest,26.938,73.028,2021-12-23,2021,12,357,50.3,0
IMD-1111,Uttar Pradesh,Indo-Gangetic Plain,27.248,79.202,2026-02-18,2026,2,49,42.6,0
IMD-1798,Karnataka,South,16.526,75.307,2026-10-13,2026,10,286,45.1,0
IMD-1048,Rajasthan,Northwest,27.847,75.986,2020-08-08,2020,8,221,44.3,0
IMD-1247,Maharashtra,West,20.451,77.102,2024-07-20,2024,7,202,37.9,0
IMD-1453,Haryana,Northwest,29.804,74.387,2020-12-13,2020,12,348,47.3,0
IMD-1859,Tamil Nadu,South Peninsula,10.863,80.644,2021-03-31,2021,3,90,29.5,0
IMD-1186,Madhya Pradesh,Central,23.154,76.978,2026-07-05,2026,7,186,34.7,0
IMD-1646,West Bengal,East,21.987,87.422,2025-11-14,2025,11,318,44.4,0
IMD-1194,Madhya Pradesh,Central,23.297,79.912,2020-02-16,2020,2,47,39.8,0
IMD-1301,Bihar,Indo-Gangetic Plain,26.192,83.349,2020-02-03,2020,2,34,37.4,0
IMD-1163,Madhya Pradesh,Central,22.097,79.905,2020-08-11,2020,8,224,38.8,0
IMD-1529,Andhra Pradesh,South Peninsula,14.837,79.41,2026-06-30,2026,6,181,35.3,0
IMD-1095,Uttar Pradesh,Indo-Gangetic Plain,28.193,80.818,2025-11-24,2025,11,328,45.7,0
IMD-1048,Rajasthan,Northwest,27.847,75.986,2026-01-24,2026,1,24,47.4,0
IMD-1512,Andhra Pradesh,South Peninsula,17.219,78.444,2022-09-13,2022,9,256,46.6,1
IMD-1057,Rajasthan,Northwest,27.464,73.164,2022-10-05,2022,10,278,48.6,0
IMD-1584,Telangana,South Peninsula,17.803,77.626,2023-01-26,2023,1,26,38.0,0
IMD-1366,Odisha,East,22.13,85.861,2022-08-15,2022,8,227,39.4,0
IMD-1124,Uttar Pradesh,Indo-Gangetic Plain,26.588,82.09,2020-03-12,2020,3,72,37.8,0
IMD-1881,Kerala,South,10.586,75.745,2024-02-19,2024,2,50,27.7,0
IMD-1822,Tamil Nadu,South Peninsula,10.605,79.241,2025-12-20,2025,12,354,39.5,0
IMD-1778,Karnataka,South,14.952,75.764,2026-05-24,2026,5,144,27.4,0
IMD-1805,Karnataka,South,16.481,74.105,2020-06-27,2020,6,179,26.7,0
IMD-1376,Odisha,East,20.814,84.643,2024-12-25,2024,12,360,46.2,0
IMD-1874,Kerala,South,11.534,76.263,2024-05-27,2024,5,148,28.2,0
IMD-1492,Delhi,Northwest,29.805,77.703,2026-11-10,2026,11,314,49.7,0
IMD-1367,Odisha,East,21.284,86.946,2025-05-13,2025,5,133,30.9,0
IMD-1521,Andhra Pradesh,South Peninsula,16.771,79.252,2022-07-08,2022,7,189,34.3,0
IMD-1384,Odisha,East,22.061,84.533,2021-08-09,2021,8,221,39.5,0
IMD-1573,Telangana,South Peninsula,16.271,77.13,2022-02-26,2022,2,57,36.5,0
IMD-1165,Madhya Pradesh,Central,23.012,79.802,2023-11-17,2023,11,321,48.1,0
IMD-1105,Uttar Pradesh,Indo-Gangetic Plain,28.234,79.925,2026-08-10,2026,8,222,36.2,0
IMD-1413,Gujarat,West,23.032,69.566,2023-10-10,2023,10,283,47.0,0
IMD-1667,West Bengal,East,23.088,87.477,2020-07-23,2020,7,205,34.8,0
IMD-1753,Jharkhand,East,22.36,85.378,2021-11-07,2021,11,311,45.3,0
IMD-1462,Haryana,Northwest,28.507,75.879,2021-05-21,2021,5,141,29.8,0
IMD-1232,Maharashtra,West,19.575,74.468,2026-12-28,2026,12,362,50.7,1
IMD-1883,Kerala,South,11.167,75.619,2026-04-24,2026,4,114,32.6,0
IMD-1475,Haryana,Northwest,27.903,78.079,2025-03-16,2025,3,75,35.3,0
IMD-1068,Rajasthan,Northwest,27.849,76.127,2021-12-12,2021,12,346,46.4,0
IMD-1539,Andhra Pradesh,South Peninsula,16.816,79.876,2020-01-26,2020,1,26,41.3,0
IMD-1605,Telangana,South Peninsula,17.054,79.115,2024-05-23,2024,5,144,33.0,0
IMD-1332,Bihar,Indo-Gangetic Plain,24.513,83.391,2026-04-09,2026,4,99,34.5,0
IMD-1804,Karnataka,South,16.378,76.624,2021-09-13,2021,9,256,40.5,0
IMD-1051,Rajasthan,Northwest,25.616,74.786,2020-03-26,2020,3,86,36.7,0
IMD-1181,Madhya Pradesh,Central,22.872,79.517,2022-03-11,2022,3,70,37.8,0
IMD-1160,Uttar Pradesh,Indo-Gangetic Plain,25.953,79.468,2025-05-04,2025,5,124,35.6,0
IMD-1009,Rajasthan,Northwest,25.954,72.391,2026-12-29,2026,12,363,49.7,0
IMD-1455,Haryana,Northwest,28.285,74.518,2021-08-23,2021,8,235,40.0,0
IMD-1010,Rajasthan,Northwest,26.274,74.241,2023-04-10,2023,4,100,36.7,0
IMD-1214,Madhya Pradesh,Central,23.229,80.319,2025-02-18,2025,2,49,38.6,0
IMD-1014,Rajasthan,Northwest,28.187,75.506,2023-10-17,2023,10,290,48.4,0
IMD-1669,West Bengal,East,22.188,86.399,2020-12-13,2020,12,348,44.2,0
IMD-1820,Tamil Nadu,South Peninsula,9.97,79.76,2023-01-04,2023,1,4,37.9,0
IMD-1693,Chhattisgarh,Central,22.588,80.754,2020-11-03,2020,11,308,48.4,0
IMD-1488,Delhi,Northwest,27.999,78.369,2023-07-27,2023,7,208,32.6,0
IMD-1245,Maharashtra,West,18.909,73.74,2026-06-02,2026,6,153,35.7,0
IMD-1662,West Bengal,East,23.3,89.196,2021-01-22,2021,1,22,37.8,0
IMD-1805,Karnataka,South,16.481,74.105,2020-09-04,2020,9,248,35.8,0
IMD-1061,Rajasthan,Northwest,28.036,74.901,2024-03-21,2024,3,81,37.8,0
IMD-1452,Haryana,Northwest,30.562,75.992,2021-12-10,2021,12,344,46.3,0
IMD-1343,Odisha,East,22.054,86.474,2021-08-21,2021,8,233,40.4,0
IMD-1720,Chhattisgarh,Central,22.351,83.013,2020-08-15,2020,8,228,38.4,0
IMD-1646,West Bengal,East,21.987,87.422,2021-11-05,2021,11,309,43.5,0
IMD-1654,West Bengal,East,23.69,86.963,2026-12-08,2026,12,342,45.3,0
IMD-1492,Delhi,Northwest,29.805,77.703,2023-09-16,2023,9,259,48.0,0
IMD-1064,Rajasthan,Northwest,27.353,72.75,2021-03-13,2021,3,72,34.9,0
IMD-1720,Chhattisgarh,Central,22.351,83.013,2020-10-26,2020,10,300,48.1,0
IMD-1166,Madhya Pradesh,Central,22.472,79.249,2026-12-09,2026,12,343,46.9,0
IMD-1811,Karnataka,South,14.579,74.37,2025-07-06,2025,7,187,31.6,0
IMD-1270,Maharashtra,West,20.47,75.974,2025-06-07,2025,6,158,38.7,0
IMD-1581,Telangana,South Peninsula,17.569,77.172,2020-02-10,2020,2,41,40.9,0
IMD-1385,Odisha,East,19.449,85.455,2020-08-11,2020,8,224,36.1,0
IMD-1819,Tamil Nadu,South Peninsula,12.353,78.465,2021-10-12,2021,10,285,43.2,0
IMD-1152,Uttar Pradesh,Indo-Gangetic Plain,28.107,81.075,2024-09-30,2024,9,274,41.8,0
IMD-1271,Maharashtra,West,19.289,73.985,2023-08-21,2023,8,233,37.4,0
IMD-1677,West Bengal,East,21.719,89.447,2020-01-15,2020,1,15,41.7,0
IMD-1760,Karnataka,South,16.161,73.728,2025-02-11,2025,2,42,34.8,0
IMD-1113,Uttar Pradesh,Indo-Gangetic Plain,27.966,81.13,2021-02-04,2021,2,35,38.8,0
IMD-1886,Kerala,South,9.833,78.18,2021-05-25,2021,5,145,24.6,0
IMD-1245,Maharashtra,West,18.909,73.74,2021-10-25,2021,10,298,46.8,0
IMD-1168,Madhya Pradesh,Central,22.417,80.237,2026-01-09,2026,1,9,48.6,1
IMD-1447,Gujarat,West,23.601,70.901,2023-05-07,2023,5,127,32.2,0
IMD-1145,Uttar Pradesh,Indo-Gangetic Plain,26.833,82.718,2025-03-17,2025,3,76,41.4,1
IMD-1689,Chhattisgarh,Central,20.288,80.741,2020-09-15,2020,9,259,44.7,0
IMD-1338,Bihar,Indo-Gangetic Plain,26.031,83.86,2020-10-23,2020,10,297,46.9,0
IMD-1545,Andhra Pradesh,South Peninsula,14.636,79.745,2023-04-25,2023,4,115,32.2,0
IMD-1324,Bihar,Indo-Gangetic Plain,23.954,85.48,2024-07-24,2024,7,206,38.0,0
IMD-1193,Madhya Pradesh,Central,24.271,77.432,2022-06-03,2022,6,154,33.8,0
IMD-1375,Odisha,East,20.052,86.999,2025-05-20,2025,5,140,32.8,0
IMD-1089,Uttar Pradesh,Indo-Gangetic Plain,28.127,80.078,2024-12-17,2024,12,352,44.3,0
IMD-1466,Haryana,Northwest,28.204,76.985,2026-11-21,2026,11,325,47.1,0
IMD-1815,Tamil Nadu,South Peninsula,10.049,76.744,2023-02-22,2023,2,53,35.9,0
IMD-1095,Uttar Pradesh,Indo-Gangetic Plain,28.193,80.818,2021-09-04,2021,9,247,41.5,0
IMD-1644,Punjab,Northwest,29.932,74.123,2025-01-31,2025,1,31,40.3,0
IMD-1355,Odisha,East,19.459,86.811,2026-01-07,2026,1,7,45.0,0
IMD-1842,Tamil Nadu,South Peninsula,11.393,78.816,2020-12-21,2020,12,356,40.7,0
IMD-1129,Uttar Pradesh,Indo-Gangetic Plain,26.936,81.298,2022-08-21,2022,8,233,43.5,0
IMD-1087,Uttar Pradesh,Indo-Gangetic Plain,28.212,81.512,2026-01-13,2026,1,13,45.8,0
IMD-1714,Chhattisgarh,Central,22.785,80.741,2021-09-14,2021,9,257,47.0,1
IMD-1845,Tamil Nadu,South Peninsula,12.394,79.718,2020-05-17,2020,5,138,32.3,0
IMD-1810,Karnataka,South,15.871,77.084,2023-12-08,2023,12,342,46.2,1
IMD-1234,Maharashtra,West,20.563,76.603,2021-04-07,2021,4,97,31.0,0
IMD-1295,Bihar,Indo-Gangetic Plain,24.135,85.919,2022-08-20,2022,8,232,41.1,0
IMD-1844,Tamil Nadu,South Peninsula,10.951,79.778,2023-06-19,2023,6,170,29.5,0
IMD-1017,Rajasthan,Northwest,26.092,74.204,2021-09-29,2021,9,272,45.9,0
IMD-1678,West Bengal,East,22.851,89.252,2023-06-20,2023,6,171,32.1,0
IMD-1879,Kerala,South,12.392,77.537,2024-09-06,2024,9,250,36.2,0
IMD-1695,Chhattisgarh,Central,20.548,81.032,2023-09-06,2023,9,249,44.3,0
IMD-1153,Uttar Pradesh,Indo-Gangetic Plain,27.389,80.144,2022-08-12,2022,8,224,38.2,0
IMD-1369,Odisha,East,19.87,84.35,2021-06-13,2021,6,164,32.7,0
